"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"0,06";"CARLIN : ABACATE Kg";"77";"KG 1";"31,487";"2,68";"84,26";"0,06";"109,88";"0,07";"130,41";"0,73";"23,04";"0,06";"27,34";"37,63";"27,34";"61,22";"61,22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23,04";"0,06";"27,34";"0,000";"0,00";"0,000";"0,000";"0,000";"1,39";"0,00";"43,73";"0,00";"0,00";"0,00"
"0,07";"CARLIN : ABACAXI GRAUDO unid";"22058";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"2,99";"2,99";"0,01";"29,93";"42,71";"29,93";"7,00";"7,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,99";"0,01";"29,93";"1,618";"0,02";"0,000";"0,000";"0,000";"2,40";"1.015,20";"2,40";"0,00";"0,00";"0,00"
"0,19";"CARLIN : ABACAXI PÉROLA UNID";"17198";"UN 1";"48,000";"3,82";"183,32";"0,12";"215,52";"0,15";"117,56";"1,42";"68,12";"0,19";"37,16";"59,13";"37,16";"115,20";"115,20";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"68,12";"0,19";"37,16";"46,320";"0,60";"0,000";"0,000";"0,000";"2,40";"0,00";"115,20";"0,00";"0,00";"0,00"
"0,21";"CARLIN : ABOBRINHA KG";"94";"KG 1";"5,910";"5,99";"35,40";"0,02";"0,00";"0,00";"0,00";"0,99";"5,85";"0,02";"16,53";"19,80";"16,53";"29,55";"29,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5,85";"0,02";"16,53";"0,000";"0,00";"0,000";"0,000";"0,000";"4,19";"745,37";"24,79";"0,00";"0,00";"0,00"
"0,23";"CARLIN : ABOBRINHA PAULISTA KG";"95";"KG 1";"7,775";"2,99";"23,25";"0,02";"0,00";"0,00";"0,00";"0,49";"3,81";"0,01";"16,39";"19,60";"16,39";"19,44";"19,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,81";"0,01";"16,39";"0,000";"0,00";"0,000";"0,000";"0,000";"3,27";"79,96";"25,39";"0,00";"0,00";"0,00"
"0,24";"CARLIN : ABÓBORA ITÁLIA KG";"129";"KG 1";"3,860";"4,99";"19,28";"0,01";"0,00";"0,00";"0,00";"0,99";"3,84";"0,01";"19,92";"24,87";"19,92";"15,44";"15,44";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,84";"0,01";"19,92";"0,000";"0,00";"0,000";"0,000";"0,000";"5,46";"173,38";"21,06";"0,00";"0,00";"0,00"
"0,25";"CARLIN : ALFACE AMERICANA BOLA MONTEIRO unid";"13592";"UN 1";"3,000";"6,99";"20,97";"0,01";"0,00";"0,00";"0,00";"0,99";"2,97";"0,01";"14,16";"16,50";"14,16";"18,00";"18,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2,97";"0,01";"14,16";"0,894";"0,01";"0,000";"0,000";"0,000";"5,96";"905,48";"17,87";"0,00";"0,00";"0,00"
"0,27";"CARLIN : ALHO AMEI TRITURADO FRITO 90g";"19315";"UN 1";"5,000";"6,99";"34,95";"0,02";"0,00";"0,00";"0,00";"1,66";"8,28";"0,02";"23,69";"76,52";"43,35";"19,80";"17,72";"0,00";"0,00";"0,00";"8,95";"0,00";"0,00";"0,00";"0,00";"8,28";"0,02";"31,85";"0,530";"0,01";"0,450";"0,002";"17.475,000";"3,38";"138,61";"16,90";"0,00";"0,00";"0,00"
"0,59";"CARLIN : ALHO KG";"284";"KG 1";"15,592";"29,98";"467,51";"0,32";"0,00";"0,00";"0,00";"19,51";"304,25";"0,83";"65,08";"233,15";"69,98";"140,33";"130,51";"0,00";"0,00";"0,00";"32,75";"0,00";"0,00";"0,00";"0,00";"304,25";"0,83";"69,98";"0,000";"0,00";"0,000";"0,000";"0,000";"8,67";"4.877,58";"135,18";"0,00";"0,00";"0,00"
"0,60";"CARLIN : ALHO TRITURADO ALHO FÁCIL 200g SEM SAL";"820";"UN 1";"2,000";"4,99";"9,98";"0,01";"0,00";"0,00";"0,00";"0,98";"1,96";"0,01";"19,64";"66,33";"39,88";"6,00";"5,46";"0,00";"0,00";"0,00";"2,56";"0,00";"0,00";"0,00";"0,00";"1,96";"0,01";"26,40";"0,432";"0,01";"0,400";"0,001";"9.980,000";"2,73";"243,00";"5,46";"0,00";"0,00";"0,00"
"0,61";"CARLIN : ALHO TRITURADO ALHO FÁCIL 400g SEM SAL";"821";"UN 1";"1,000";"9,99";"9,99";"0,01";"0,00";"0,00";"0,00";"2,43";"2,43";"0,01";"24,32";"81,64";"44,94";"5,50";"5,01";"0,00";"0,00";"0,00";"2,56";"0,00";"0,00";"0,00";"0,00";"2,43";"0,01";"32,69";"0,430";"0,01";"0,400";"0,001";"9.990,000";"5,01";"0,00";"5,01";"0,00";"0,00";"0,00"
"0,62";"CARLIN : ALHO TRITURADO AMEI PT 200g";"1380";"UN 1";"2,000";"3,99";"7,98";"0,01";"0,00";"0,00";"0,00";"1,06";"2,12";"0,01";"26,57";"40,00";"28,57";"5,70";"5,30";"0,00";"0,00";"0,00";"0,56";"0,00";"0,00";"0,00";"0,00";"2,12";"0,01";"28,57";"0,410";"0,01";"0,400";"0,001";"7.980,000";"2,65";"204,23";"5,30";"0,00";"0,00";"0,00"
"0,79";"CARLIN : AMEIXA NACIONAL KG";"286";"KG 1";"30,541";"8,00";"244,48";"0,17";"274,57";"0,19";"112,31";"3,01";"91,78";"0,25";"37,54";"60,09";"37,54";"152,71";"152,71";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"91,78";"0,25";"37,54";"0,000";"0,00";"0,000";"0,000";"0,000";"8,33";"0,00";"254,51";"0,00";"0,00";"0,00"
"0,85";"CARLIN : BANANA FRITAR Kg";"289";"KG 1";"10,692";"7,99";"85,42";"0,06";"0,00";"0,00";"0,00";"1,32";"14,14";"0,04";"16,55";"19,84";"16,55";"71,28";"71,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14,14";"0,04";"16,55";"0,000";"0,00";"0,000";"0,000";"0,000";"6,67";"521,22";"71,28";"0,00";"0,00";"0,00"
"0,91";"CARLIN : BANANA MAÇÃ Kg";"291";"KG 1";"5,792";"15,99";"92,60";"0,06";"0,00";"0,00";"0,00";"4,65";"26,96";"0,07";"29,11";"41,07";"29,11";"65,64";"65,64";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,96";"0,07";"29,11";"0,000";"0,00";"0,000";"0,000";"0,000";"11,33";"71,64";"65,64";"0,00";"0,00";"0,00"
