"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Venda";"Quantidade Perda";"% Part. Qt.Perda";"Tot Perda  Liquido";"Tot Perda  Bruto";"% Partic. Cto Lanc.";"Vlr Tot.Perda Preço Atual";"% Partic. Prec.Atual";"% Vlr. Perda / Vlr.Cto Estq";"Impostos  Vda Realizada";"Lucratividade Valor Perdido";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Perdida";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"Custo Fiscal Total";"IBS MUN s/Venda";"IBS UF s/Venda";"CBS s/Venda";"IS s/Venda"
"0,43";"CARLIN : ABACATE Kg";"77";"KG 1";"8,800";"1,90";"17,11";"17,11";"0,43";"26,31";"0,45";"-7,65";"0,00";"6,77";"0,62";"25,72";"53,77";"34,97";"6,77";"0,62";"25,72";"0,009";"0,32";"0,009";"17,11";"17,11";"0,00";"0,00";"2,43";"0,00";"0,43";"2,00";"0,00";"17,11";"0,00";"0,00";"0,00";"0,00"
"0,55";"CARLIN : ABACAXI PÉROLA UNID";"17198";"UN 1";"2,000";"0,43";"4,80";"4,80";"0,12";"7,98";"0,14";"-0,61";"0,00";"2,44";"0,22";"30,60";"66,25";"39,85";"2,44";"0,22";"30,60";"1,930";"68,93";"0,002";"4,80";"4,80";"0,00";"0,00";"0,74";"0,00";"0,13";"0,61";"0,00";"4,80";"0,00";"0,00";"0,00";"0,00"
"0,91";"CARLIN : ABÓBORA ITÁLIA KG";"129";"KG 1";"3,538";"0,77";"14,15";"14,15";"0,36";"21,19";"0,36";"11,13";"0,00";"5,08";"0,47";"23,97";"49,75";"33,22";"5,08";"0,47";"23,97";"0,004";"0,14";"0,004";"14,15";"14,15";"0,00";"0,00";"1,96";"0,00";"0,35";"1,61";"0,00";"16,88";"0,00";"0,00";"0,00";"0,00"
"1,12";"CARLIN : AMEIXA NACIONAL KG";"286";"KG 1";"1,708";"0,37";"8,54";"8,54";"0,21";"22,19";"0,38";"-16,01";"0,00";"11,59";"1,06";"52,26";"159,80";"61,51";"11,59";"1,06";"52,26";"0,002";"0,07";"0,002";"8,54";"8,54";"0,00";"0,00";"2,05";"0,00";"0,37";"1,69";"0,00";"8,54";"0,00";"0,00";"0,00";"0,00"
"5,19";"CARLIN : BANANA FRITAR Kg";"289";"KG 1";"24,300";"5,26";"162,00";"162,00";"4,07";"218,46";"3,75";"31,08";"0,00";"36,25";"3,33";"16,59";"34,85";"25,84";"36,25";"3,33";"16,59";"0,024";"0,86";"0,024";"162,00";"162,00";"0,00";"0,00";"20,21";"0,00";"3,60";"16,60";"0,00";"161,91";"0,00";"0,00";"0,00";"0,00"
"6,36";"CARLIN : BANANA PRATA Kg";"298";"KG 1";"7,000";"1,51";"46,67";"46,67";"1,17";"27,93";"0,48";"1,76";"0,00";"-21,32";"-1,96";"-76,33";"-40,15";"-67,08";"-21,32";"-1,96";"-76,33";"0,007";"0,25";"0,007";"46,67";"46,67";"0,00";"0,00";"2,58";"0,00";"0,46";"2,12";"0,00";"42,97";"0,00";"0,00";"0,00";"0,00"
"10,13";"CARLIN : BATATA EXTRA Kg";"311";"KG 1";"37,471";"8,11";"149,88";"149,88";"3,77";"149,51";"2,57";"2,58";"0,00";"-14,20";"-1,30";"-9,50";"-0,25";"-0,25";"-14,20";"-1,30";"-9,50";"0,037";"1,32";"0,037";"149,88";"149,88";"0,00";"0,00";"13,83";"0,00";"2,47";"11,36";"0,00";"97,28";"0,00";"0,00";"0,00";"0,00"
"10,46";"CARLIN : BERINJELA Kg";"316";"KG 1";"4,950";"1,07";"13,22";"13,22";"0,33";"24,70";"0,42";"806,19";"0,00";"9,19";"0,84";"37,21";"86,79";"46,46";"9,19";"0,84";"37,21";"0,005";"0,18";"0,005";"13,22";"13,22";"0,00";"0,00";"2,28";"0,00";"0,41";"1,88";"0,00";"13,19";"0,00";"0,00";"0,00";"0,00"
"11,74";"CARLIN : CEBOLA EXTRA Kg";"338";"KG 1";"14,100";"3,05";"50,76";"50,76";"1,28";"56,26";"0,97";"0,91";"0,00";"0,30";"0,03";"0,52";"10,83";"9,77";"0,30";"0,03";"0,52";"0,014";"0,50";"0,014";"50,76";"50,76";"0,00";"0,00";"5,20";"0,00";"0,93";"4,28";"0,00";"39,82";"0,00";"0,00";"0,00";"0,00"
"11,78";"CARLIN : CEBOLA GRAÚDA ROXA Kg";"340";"KG 1";"0,400";"0,09";"1,60";"1,60";"0,04";"3,20";"0,05";"2,94";"0,00";"1,30";"0,12";"40,69";"99,75";"49,94";"1,30";"0,12";"40,69";"0,000";"0,00";"0,000";"1,60";"1,60";"0,00";"0,00";"0,30";"0,00";"0,05";"0,24";"0,00";"2,01";"0,00";"0,00";"0,00";"0,00"
"13,13";"CARLIN : CENOURA Kg";"342";"KG 1";"32,600";"7,06";"53,79";"53,79";"1,35";"84,43";"1,45";"8,12";"0,00";"22,83";"2,09";"27,04";"56,97";"36,29";"22,83";"2,09";"27,04";"0,033";"1,18";"0,033";"53,79";"53,79";"0,00";"0,00";"7,81";"0,00";"1,39";"6,42";"0,00";"52,02";"0,00";"0,00";"0,00";"0,00"
"13,19";"CARLIN : CHUCHU Kg";"346";"KG 1";"0,400";"0,09";"2,40";"2,40";"0,06";"2,80";"0,05";"0,33";"0,00";"0,14";"0,01";"4,91";"16,50";"14,16";"0,14";"0,01";"4,91";"0,000";"0,00";"0,000";"2,40";"2,40";"0,00";"0,00";"0,26";"0,00";"0,05";"0,21";"0,00";"2,40";"0,00";"0,00";"0,00";"0,00"
"14,16";"CARLIN : GENGIBRE KG";"353";"KG 1";"3,000";"0,65";"38,57";"42,50";"0,97";"50,97";"0,88";"33,90";"0,00";"7,69";"0,71";"15,08";"19,93";"16,62";"7,69";"0,71";"15,08";"0,003";"0,11";"0,003";"42,50";"38,57";"0,00";"0,00";"4,71";"0,00";"0,84";"3,87";"0,00";"38,44";"0,00";"0,05";"0,46";"0,00"
"15,64";"CARLIN : GOIABA KG";"357";"KG 1";"7,100";"1,54";"58,83";"58,83";"1,48";"85,13";"1,46";"4,27";"0,00";"18,43";"1,69";"21,64";"44,71";"30,89";"18,43";"1,69";"21,64";"0,007";"0,25";"0,007";"58,83";"58,83";"0,00";"0,00";"7,87";"0,00";"1,40";"6,47";"0,00";"58,16";"0,00";"0,00";"0,00";"0,00"
"15,90";"CARLIN : JILÓ KG";"367";"KG 1";"1,152";"0,25";"10,37";"10,37";"0,26";"19,57";"0,34";"1,80";"0,00";"7,39";"0,68";"37,78";"88,78";"47,03";"7,39";"0,68";"37,78";"0,001";"0,04";"0,001";"10,37";"10,37";"0,00";"0,00";"1,81";"0,00";"0,32";"1,49";"0,00";"9,57";"0,00";"0,00";"0,00";"0,00"
"16,10";"CARLIN : KIWI Kg";"375";"KG 1";"0,400";"0,09";"8,00";"8,00";"0,20";"12,00";"0,21";"2,06";"0,00";"2,89";"0,27";"24,06";"49,95";"33,31";"2,89";"0,27";"24,06";"0,000";"0,00";"0,000";"8,00";"8,00";"0,00";"0,00";"1,11";"0,00";"0,20";"0,91";"0,00";"8,88";"0,00";"0,00";"0,00";"0,00"
"17,56";"CARLIN : LARANJA PERA Kg";"381";"KG 1";"25,798";"5,58";"58,05";"58,05";"1,46";"102,93";"1,77";"12,36";"0,00";"35,37";"3,25";"34,36";"77,33";"43,61";"35,37";"3,25";"34,36";"0,026";"0,93";"0,026";"58,05";"58,05";"0,00";"0,00";"9,52";"0,00";"1,70";"7,82";"0,00";"58,15";"0,00";"0,00";"0,00";"0,00"
"20,32";"CARLIN : LIMÃO TAITI Kg";"389";"KG 1";"78,500";"16,99";"109,90";"109,90";"2,76";"234,72";"4,03";"10,08";"0,00";"103,10";"9,46";"43,93";"113,57";"53,18";"103,10";"9,46";"43,93";"0,079";"2,82";"0,079";"109,90";"109,90";"0,00";"0,00";"21,71";"0,00";"3,87";"17,84";"0,00";"111,10";"0,00";"0,00";"0,00";"0,00"
"20,51";"CARLIN : MAMÃO FORMOSA Kg";"390";"KG 1";"2,800";"0,61";"7,70";"7,70";"0,19";"12,01";"0,21";"1,36";"0,00";"3,20";"0,29";"26,65";"56,00";"35,90";"3,20";"0,29";"26,65";"0,003";"0,11";"0,003";"7,70";"7,70";"0,00";"0,00";"1,11";"0,00";"0,20";"0,91";"0,00";"7,67";"0,00";"0,00";"0,00";"0,00"
"25,38";"CARLIN : MAMÃO PAPAYA Kg";"391";"KG 1";"27,700";"6,00";"193,90";"193,90";"4,87";"193,62";"3,33";"27,29";"0,00";"-18,19";"-1,67";"-9,39";"-0,14";"-0,14";"-18,19";"-1,67";"-9,39";"0,028";"1,00";"0,028";"193,90";"193,90";"0,00";"0,00";"17,91";"0,00";"3,19";"14,72";"0,00";"166,95";"0,00";"0,00";"0,00";"0,00"
"25,49";"CARLIN : MANGA Kg";"399";"KG 1";"1,800";"0,39";"4,50";"4,50";"0,11";"5,92";"0,10";"-7,89";"0,00";"0,87";"0,08";"14,76";"31,60";"24,01";"0,87";"0,08";"14,76";"0,002";"0,07";"0,002";"4,50";"4,50";"0,00";"0,00";"0,55";"0,00";"0,10";"0,45";"0,00";"4,50";"0,00";"0,00";"0,00";"0,00"
"25,94";"CARLIN : MAÇÃ NACIONAL Kg";"425";"KG 1";"1,400";"0,30";"17,77";"17,77";"0,45";"11,61";"0,20";"0,36";"0,00";"-7,24";"-0,66";"-62,35";"-34,68";"-53,10";"-7,24";"-0,66";"-62,35";"0,001";"0,04";"0,001";"17,77";"17,77";"0,00";"0,00";"1,07";"0,00";"0,19";"0,88";"0,00";"18,00";"0,00";"0,00";"0,00";"0,00"
"26,27";"CARLIN : MAÇÃ VERDE Kg";"424";"KG 1";"0,900";"0,19";"13,00";"13,00";"0,33";"17,09";"0,29";"2,20";"0,00";"2,51";"0,23";"14,69";"31,47";"23,94";"2,51";"0,23";"14,69";"0,001";"0,04";"0,001";"13,00";"13,00";"0,00";"0,00";"1,58";"0,00";"0,28";"1,30";"0,00";"12,64";"0,00";"0,00";"0,00";"0,00"
"27,44";"CARLIN : MELANCIA Kg";"431";"KG 1";"25,885";"5,60";"46,59";"46,59";"1,17";"77,40";"1,33";"1,49";"0,00";"23,64";"2,17";"30,55";"66,11";"39,80";"23,64";"2,17";"30,55";"0,026";"0,93";"0,026";"46,59";"46,59";"0,00";"0,00";"7,16";"0,00";"1,28";"5,88";"0,00";"38,68";"0,00";"0,00";"0,00";"0,00"
"27,68";"CARLIN : MELÃO AMARELO Kg";"435";"KG 1";"2,720";"0,59";"9,52";"9,52";"0,24";"14,93";"0,26";"6,50";"0,00";"4,03";"0,37";"27,00";"56,86";"36,25";"4,03";"0,37";"27,00";"0,003";"0,11";"0,003";"9,52";"9,52";"0,00";"0,00";"1,38";"0,00";"0,25";"1,13";"0,00";"10,59";"0,00";"0,00";"0,00";"0,00"
"28,07";"CARLIN : PEPINO CAIPIRA Kg";"475";"KG 1";"3,100";"0,67";"15,50";"15,50";"0,39";"10,20";"0,18";"1,90";"0,00";"-6,24";"-0,57";"-61,23";"-34,20";"-51,98";"-6,24";"-0,57";"-61,23";"0,003";"0,11";"0,003";"15,50";"15,50";"0,00";"0,00";"0,94";"0,00";"0,17";"0,78";"0,00";"14,86";"0,00";"0,00";"0,00";"0,00"
"28,30";"CARLIN : PEPINO JAPONÊS Kg";"474";"KG 1";"1,500";"0,32";"9,00";"9,00";"0,23";"8,99";"0,15";"1,42";"0,00";"-0,85";"-0,08";"-9,42";"-0,17";"-0,17";"-0,85";"-0,08";"-9,42";"0,002";"0,07";"0,002";"9,00";"9,00";"0,00";"0,00";"0,83";"0,00";"0,15";"0,68";"0,00";"9,71";"0,00";"0,00";"0,00";"0,00"
