"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"0,01";"CARLIN : ABACAXI PEDAÇOS COPO KG";"617";"KG 1";"0,145";"2,91";"0,01";"0,89";"0,01";"30,72";"66,58";"39,97";"0,89";"0,01";"30,72";"0,000";"0,00";"0,000";"1,74";"1,74";"0,00";"0,00";"0,27";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABACAXI REDE UNID";"17202";"UN 1";"0,226";"2,03";"0,01";"0,15";"0,00";"7,32";"19,87";"16,57";"0,15";"0,00";"7,32";"0,440";"0,03";"0,000";"1,70";"1,70";"0,00";"0,00";"0,19";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABACAXI S/CASCA FAT KG";"619";"KG 1";"0,025";"0,30";"0,00";"0,15";"0,00";"49,05";"139,80";"58,30";"0,15";"0,00";"49,05";"0,000";"0,00";"0,000";"0,13";"0,13";"0,00";"0,00";"0,03";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,02";"CARLIN : ABOBRINHA RALADA KG";"110";"KG 1";"0,017";"0,15";"0,00";"0,04";"0,00";"27,90";"59,12";"37,15";"0,04";"0,00";"27,90";"0,000";"0,00";"0,000";"0,10";"0,10";"0,00";"0,00";"0,01";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,04";"CARLIN : ABÓBORA DOCE KG";"116";"KG 1";"1,425";"7,11";"0,02";"1,04";"0,01";"14,60";"31,32";"23,85";"1,04";"0,01";"14,60";"0,001";"0,00";"0,001";"5,42";"5,42";"0,00";"0,00";"0,66";"0,00";"0,12";"0,54";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,06";"CARLIN : ALHO AMEI TRITURADO PT 400g";"1390";"UN 1";"0,957";"7,65";"0,02";"2,30";"0,02";"30,04";"72,16";"41,91";"2,30";"0,02";"30,04";"0,388";"0,03";"0,383";"4,44";"4,11";"0,00";"0,00";"1,24";"0,54";"0,13";"0,58";"0,00";"0,00";"0,00";"0,03";"0,00"
"0,10";"CARLIN : ALHO DESCASCADO NATARI 1Kg";"13553";"UN 1";"0,421";"14,73";"0,04";"1,98";"0,02";"13,44";"32,28";"24,40";"1,98";"0,02";"13,44";"0,424";"0,03";"0,000";"11,14";"10,36";"0,00";"0,00";"2,39";"1,03";"0,24";"1,12";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,13";"CARLIN : ALHO TRITURADO S/SAL ALHO FÁCIL 1Kg";"819";"UN 1";"0,442";"9,73";"0,03";"2,04";"0,02";"21,01";"75,92";"43,16";"2,04";"0,02";"21,01";"0,465";"0,03";"0,442";"5,53";"5,03";"0,00";"0,00";"2,65";"1,75";"0,16";"0,74";"0,00";"0,00";"0,00";"0,04";"0,00"
"0,27";"CARLIN : AMEIXA IMPORTADA KG";"285";"KG 1";"1,677";"48,63";"0,14";"10,58";"0,11";"21,76";"44,95";"31,01";"10,58";"0,11";"21,76";"0,002";"0,00";"0,002";"33,55";"33,55";"0,00";"0,00";"4,50";"0,00";"0,80";"3,70";"0,00";"0,00";"0,00";"0,00";"0,00"
"0,60";"CARLIN : AMEIXA NACIONAL BDJ 500g";"21726";"UN 1";"13,950";"111,46";"0,33";"34,19";"0,36";"30,67";"66,46";"39,92";"34,19";"0,36";"30,67";"7,491";"0,53";"0,014";"66,96";"66,96";"0,00";"0,00";"10,31";"0,00";"1,84";"8,47";"0,00";"0,00";"0,00";"0,00";"0,00"
